ingestdate,source,mfr,mpn,partnumber,qtyavail,price
20131118,source1,mfr1,mpn1,partnumber3,74490,-1
20131118,source1,mfr1,mpn1,partnumber1,71490,0.23
20131118,source1,mfr1,mpn1,partnumber2,72000,0.03749
20131126,source1,mfr1,mpn1,partnumber2,87000,0.03749
20131126,source1,mfr1,mpn1,partnumber1,89808,0.23
20131126,source1,mfr1,mpn1,partnumber3,89778,-1
20131127,source1,mfr1,mpn1,partnumber2,87000,0.03749
20131127,source1,mfr1,mpn1,partnumber1,89724,0.23
20131127,source1,mfr1,mpn1,partnumber3,89724,-1
20131128,source1,mfr1,mpn1,partnumber2,84000,0.03749
20131128,source1,mfr1,mpn1,partnumber1,86724,0.23
20131128,source1,mfr1,mpn1,partnumber3,86724,-1
20131129,source1,mfr1,mpn1,partnumber3,86724,-1
20131129,source1,mfr1,mpn1,partnumber1,86724,0.23
20131129,source1,mfr1,mpn1,partnumber2,84000,0.03749
20131130,source1,mfr1,mpn1,partnumber2,84000,0.03749
20131130,source1,mfr1,mpn1,partnumber1,86664,0.23
20131130,source1,mfr1,mpn1,partnumber3,86664,-1
20131201,source1,mfr1,mpn1,partnumber3,86664,-1
20131201,source1,mfr1,mpn1,partnumber1,86664,0.23
20131201,source1,mfr1,mpn1,partnumber2,84000,0.03749
20131205,source1,mfr1,mpn1,partnumber2,72000,0.03749
20131205,source1,mfr1,mpn1,partnumber1,74800,0.23
20131205,source1,mfr1,mpn1,partnumber3,74800,-1
20131206,source1,mfr1,mpn1,partnumber3,74710,-1
20131206,source1,mfr1,mpn1,partnumber1,74710,0.23
20131206,source1,mfr1,mpn1,partnumber2,72000,0.03749
20131208,source1,mfr1,mpn1,partnumber3,73740,-1
20131208,source1,mfr1,mpn1,partnumber1,73740,0.23
20131208,source1,mfr1,mpn1,partnumber2,69000,0.03749
20131209,source1,mfr1,mpn1,partnumber3,73740,-1
20131209,source1,mfr1,mpn1,partnumber1,73740,0.23
20131209,source1,mfr1,mpn1,partnumber2,69000,0.03749
20131210,source1,mfr1,mpn1,partnumber2,75000,0.03749
20131210,source1,mfr1,mpn1,partnumber1,78660,0.23
20131210,source1,mfr1,mpn1,partnumber3,78660,-1
20131211,source1,mfr1,mpn1,partnumber2,96000,0.03749
20131211,source1,mfr1,mpn1,partnumber1,99645,0.23
20131211,source1,mfr1,mpn1,partnumber3,99645,-1
20131212,source1,mfr1,mpn1,partnumber2,99000,0.03749
20131212,source1,mfr1,mpn1,partnumber1,102460,0.23
20131212,source1,mfr1,mpn1,partnumber3,102460,-1
20131213,source1,mfr1,mpn1,partnumber2,99000,0.03749
20131213,source1,mfr1,mpn1,partnumber1,102410,0.23
20131213,source1,mfr1,mpn1,partnumber3,102410,-1
20131214,source1,mfr1,mpn1,partnumber3,102000,-1
20131214,source1,mfr1,mpn1,partnumber1,102000,0.23
20131214,source1,mfr1,mpn1,partnumber2,99000,0.03749
20131215,source1,mfr1,mpn1,partnumber2,99000,0.03749
20131215,source1,mfr1,mpn1,partnumber1,102000,0.23
20131215,source1,mfr1,mpn1,partnumber3,102000,-1
20131216,source1,mfr1,mpn1,partnumber3,100200,-1
20131216,source1,mfr1,mpn1,partnumber1,100200,0.23
20131216,source1,mfr1,mpn1,partnumber2,99000,0.03749
20131218,source1,mfr1,mpn1,partnumber3,96739,-1
20131218,source1,mfr1,mpn1,partnumber1,96739,0.23
20131218,source1,mfr1,mpn1,partnumber2,93000,0.03749
20131220,source1,mfr1,mpn1,partnumber2,96000,0.03749
20131220,source1,mfr1,mpn1,partnumber1,99624,0.23
20131220,source1,mfr1,mpn1,partnumber3,99624,-1
