ingestdate,source,mfr,mpn,partnumber,qtyavail,price
20140203,source1,mfr1,mpn1,partnumber1,6114,2.59
20140204,source1,mfr1,mpn1,partnumber1,6114,2.59
20140205,source1,mfr1,mpn1,partnumber1,6114,2.59
20140206,source1,mfr1,mpn1,partnumber1,6114,2.59
20140211,source1,mfr1,mpn1,partnumber1,6114,2.59
20140212,source1,mfr1,mpn1,partnumber1,6114,2.59
20140213,source1,mfr1,mpn1,partnumber1,6114,2.59
20140214,source1,mfr1,mpn1,partnumber1,6108,2.59
20140215,source1,mfr1,mpn1,partnumber1,6108,2.59
20140216,source1,mfr1,mpn1,partnumber1,6108,2.59
20140217,source1,mfr1,mpn1,partnumber1,6108,2.59
20140220,source1,mfr1,mpn1,partnumber1,6108,2.59
20140221,source1,mfr1,mpn1,partnumber1,6108,2.59
20140222,source1,mfr1,mpn1,partnumber1,6108,2.59
20140223,source1,mfr1,mpn1,partnumber1,6108,2.59
20140224,source1,mfr1,mpn1,partnumber1,6108,2.59
20140225,source1,mfr1,mpn1,partnumber1,6108,2.59
20140226,source1,mfr1,mpn1,partnumber1,6083,2.59
20140227,source1,mfr1,mpn1,partnumber1,6083,2.59
20140228,source1,mfr1,mpn1,partnumber1,6083,2.59
20140301,source1,mfr1,mpn1,partnumber1,6083,2.59
20140302,source1,mfr1,mpn1,partnumber1,6083,2.59
20140303,source1,mfr1,mpn1,partnumber1,6083,2.59
20140304,source1,mfr1,mpn1,partnumber1,6083,2.59
20140305,source1,mfr1,mpn1,partnumber1,5683,2.59
20140306,source1,mfr1,mpn1,partnumber1,5983,2.59
20140307,source1,mfr1,mpn1,partnumber1,5923,2.59
20140308,source1,mfr1,mpn1,partnumber1,5923,2.59
20140309,source1,mfr1,mpn1,partnumber1,5923,2.59
20140310,source1,mfr1,mpn1,partnumber1,5923,2.59
20140311,source1,mfr1,mpn1,partnumber1,5923,2.59
20140312,source1,mfr1,mpn1,partnumber1,5923,2.59
20140313,source1,mfr1,mpn1,partnumber1,5923,2.59
20140314,source1,mfr1,mpn1,partnumber1,5923,2.59
20140315,source1,mfr1,mpn1,partnumber1,5923,2.59
20140316,source1,mfr1,mpn1,partnumber1,5923,2.59
20140318,source1,mfr1,mpn1,partnumber1,5923,2.59
20140319,source1,mfr1,mpn1,partnumber1,5923,2.59
20140320,source1,mfr1,mpn1,partnumber1,5923,2.59
20140321,source1,mfr1,mpn1,partnumber1,5923,2.59
20140322,source1,mfr1,mpn1,partnumber1,5923,2.59
20140323,source1,mfr1,mpn1,partnumber1,5923,2.59
20140324,source1,mfr1,mpn1,partnumber1,5923,2.59
20140325,source1,mfr1,mpn1,partnumber1,5923,2.59
20140326,source1,mfr1,mpn1,partnumber1,5923,2.59
20140327,source1,mfr1,mpn1,partnumber1,5913,2.59
20140328,source1,mfr1,mpn1,partnumber1,5913,2.59
20140329,source1,mfr1,mpn1,partnumber1,5913,2.59
20140330,source1,mfr1,mpn1,partnumber1,5913,2.59
20140331,source1,mfr1,mpn1,partnumber1,5913,2.59
20140401,source1,mfr1,mpn1,partnumber1,5913,2.59
20140402,source1,mfr1,mpn1,partnumber1,5913,2.59
20140403,source1,mfr1,mpn1,partnumber1,5913,2.59
20140404,source1,mfr1,mpn1,partnumber1,5913,2.59
20140405,source1,mfr1,mpn1,partnumber1,5913,2.59
20140406,source1,mfr1,mpn1,partnumber1,5913,2.59
20140407,source1,mfr1,mpn1,partnumber1,5913,2.59
20140408,source1,mfr1,mpn1,partnumber1,5913,2.59
20140409,source1,mfr1,mpn1,partnumber1,5913,2.59
20140410,source1,mfr1,mpn1,partnumber1,5913,2.59
20140411,source1,mfr1,mpn1,partnumber1,5913,2.59
20140412,source1,mfr1,mpn1,partnumber1,5913,2.59
20140413,source1,mfr1,mpn1,partnumber1,5913,2.59
20140414,source1,mfr1,mpn1,partnumber1,5913,2.59
20140416,source1,mfr1,mpn1,partnumber1,5913,2.59
20140417,source1,mfr1,mpn1,partnumber1,5913,2.59
20140418,source1,mfr1,mpn1,partnumber1,5913,2.59
20140419,source1,mfr1,mpn1,partnumber1,5905,2.59
20140420,source1,mfr1,mpn1,partnumber1,5905,2.59
20140421,source1,mfr1,mpn1,partnumber1,5905,2.59
20140422,source1,mfr1,mpn1,partnumber1,5905,2.59
20140423,source1,mfr1,mpn1,partnumber1,5905,2.59
20140424,source1,mfr1,mpn1,partnumber1,5905,2.59
20140425,source1,mfr1,mpn1,partnumber1,5905,2.59
20140427,source1,mfr1,mpn1,partnumber1,5905,2.59
20140428,source1,mfr1,mpn1,partnumber1,5905,2.59
20140429,source1,mfr1,mpn1,partnumber1,5905,2.59
20140430,source1,mfr1,mpn1,partnumber1,5905,2.59
20140501,source1,mfr1,mpn1,partnumber1,5905,2.59
20140502,source1,mfr1,mpn1,partnumber1,5905,2.59
20140503,source1,mfr1,mpn1,partnumber1,5905,2.59
20140504,source1,mfr1,mpn1,partnumber1,5905,2.59
20140505,source1,mfr1,mpn1,partnumber1,5905,2.59
20140506,source1,mfr1,mpn1,partnumber1,1705,2.59
20140507,source1,mfr1,mpn1,partnumber1,1705,2.59
20140508,source1,mfr1,mpn1,partnumber1,1705,2.59
20140509,source1,mfr1,mpn1,partnumber1,1705,2.59
20140510,source1,mfr1,mpn1,partnumber1,1705,2.59
20140511,source1,mfr1,mpn1,partnumber1,1705,2.59
20140512,source1,mfr1,mpn1,partnumber1,1705,2.59
20140513,source1,mfr1,mpn1,partnumber1,1705,2.59
20140514,source1,mfr1,mpn1,partnumber1,1705,2.59
20140515,source1,mfr1,mpn1,partnumber1,1705,2.59
20140516,source1,mfr1,mpn1,partnumber1,1705,2.59
20140517,source1,mfr1,mpn1,partnumber1,1705,2.59
20140518,source1,mfr1,mpn1,partnumber1,1705,2.59
20140519,source1,mfr1,mpn1,partnumber1,1705,2.59
20140520,source1,mfr1,mpn1,partnumber1,1705,2.59
20140521,source1,mfr1,mpn1,partnumber1,1705,2.59
20140522,source1,mfr1,mpn1,partnumber1,1705,2.59
20140523,source1,mfr1,mpn1,partnumber1,1705,2.59
20140524,source1,mfr1,mpn1,partnumber1,1704,2.59
20140525,source1,mfr1,mpn1,partnumber1,1704,2.59
