ingestdate,qtyavail
20150320,7150000
20150320,7181084
20150320,7181084
20150322,7140000
20150322,7167854
20150322,7167854
20150306,10440000
20150306,10483322
20150306,10483372
20150316,8740000
20150316,8760620
20150316,8760620
20150325,4320000
20150325,4352664
20150325,4352664
20150312,8740000
20150312,8769727
20150312,8769727
20150314,8740000
20150314,8760771
20150314,8760771
20150315,8740000
20150315,8760771
20150315,8760771
20150225,11230000
20150225,11254801
20150225,11254801
20150301,11190000
20150301,11209720
20150301,11209720
20150305,10460000
20150305,10485174
20150305,10485174
20150303,10510000
20150303,10525397
20150303,10525447
20150304,10480000
20150304,10512037
20150304,10512037
20150311,8740000
20150311,8773212
20150311,8773212
20150302,11190000
20150302,11208660
20150302,11208660
20150307,10430000
20150307,10470342
20150307,10480342
20150309,10430000
20150309,10470177
20150309,10470177
20140604,9360000
20140604,9471999
20140604,9472099
20140607,9270000
20140607,9375012
20140607,9375032
20140610,8510000
20140610,8624878
20140610,8624878
20140612,8890000
20140612,8989394
20140612,8989394
20150226,11220000
20150226,11241674
20150226,11241674
20150308,10430000
20150308,10470342
20150308,10470342
20150310,9960000
20150310,9995632
20150310,9995632
20150222,12750000
20150222,12783251
20150222,12783251
20150223,12750000
20150223,12783101
20150223,12783101
20150224,11240000
20150224,11270976
20150224,11270976
20150217,12820000
20150217,12838279
20150217,12838279
20150227,11200000
20150227,11220750
20150227,11220750
20150228,11190000
20150228,11209720
20150228,11209720
20141008,1780000
20141008,1831874
20141008,1831874
20141020,13500000
20141020,13529865
20141020,13529865
20141027,13240000
20141027,13267501
20141027,13267501
20150129,15100000
20150129,15128481
20150129,15128481
20150131,14050000
20150131,14074303
20150131,14074303
20141021,14180000
20141021,14211670
20141021,14211670
20141022,14180000
20141022,14211649
20141022,14211649
20141028,13150000
20141028,13181069
20141028,13181069
20141102,12860000
20141102,12874620
20141102,12874620
20150205,14760000
20150205,14778289
20150205,14778789
20150206,14740000
20150206,14752839
20150206,14752839
20150208,14670000
20150208,14698991
20150208,14698991
20150201,14060000
20150201,14084153
20150201,14084153
20150204,14780000
20150204,14800055
20150204,14800045
20150209,14670000
20150209,14700671
20150209,14700671
20150207,14670000
20150207,14698991
20150207,14698991
20150210,14340000
20150210,14369575
20150210,14369575
20150215,13170000
20150215,13189044
20150215,13189044
20131022,7218000
20131022,7231901
20131022,7231901
20131023,4828000
20131023,4840117
20131023,4840117
20131026,4678000
20131026,4694197
20131026,4694197
20131027,4678000
20131027,4693697
20131027,4693697
20131028,4678000
20131028,4693697
20131028,4693697
20150211,13170000
20150211,13193325
20150211,13193325
20150213,13170000
20150213,13190661
20150213,13190761
20150214,13170000
20150214,13189044
20150214,13189044
20150202,14060000
20150202,14084152
20150202,14084152
20150216,13170000
20150216,13189014
20150216,13189014
20150218,12820000
20150218,12836814
20150218,12837204
20140514,5570000
20140514,5592806
20140514,5592806
20140519,8050000
20140519,8058924
20140519,8058924
